subject_id,block,trial_id,angle,char_type,rt,correct,timestamp
S023,0,1,0,normal,608,1,2026-06-01T08:00:00Z
S023,0,2,240,mirror,943,1,2026-06-01T08:00:02.547495Z
S023,0,3,300,normal,819,1,2026-06-01T08:00:05.419283Z
S023,0,4,240,normal,1069,1,2026-06-01T08:00:08.355438Z
S023,0,5,300,mirror,965,1,2026-06-01T08:00:10.801746Z
S023,0,6,0,normal,516,1,2026-06-01T08:00:12.875904Z
S023,0,7,180,normal,1069,1,2026-06-01T08:00:15.308638Z
S023,0,8,120,mirror,922,1,2026-06-01T08:00:17.820025Z
S023,0,9,180,mirror,1310,1,2026-06-01T08:00:20.458025Z
S023,0,10,120,normal,1010,1,2026-06-01T08:00:22.853092Z
S023,0,11,0,mirror,758,1,2026-06-01T08:00:25.601774Z
S023,0,12,60,normal,756,1,2026-06-01T08:00:28.291393Z
S023,0,13,60,mirror,936,1,2026-06-01T08:00:30.777371Z
S023,0,14,240,mirror,1158,1,2026-06-01T08:00:33.052494Z
S023,0,15,120,normal,1020,1,2026-06-01T08:00:35.533913Z
S023,0,16,300,normal,779,1,2026-06-01T08:00:38.098728Z
S023,0,17,60,normal,727,1,2026-06-01T08:00:40.595396Z
S023,0,18,60,mirror,776,1,2026-06-01T08:00:42.832735Z
S023,0,19,300,mirror,875,0,2026-06-01T08:00:45.698912Z
S023,0,20,240,normal,1027,1,2026-06-01T08:00:48.420789Z
S023,0,21,180,normal,1088,1,2026-06-01T08:00:51.231880Z
S023,0,22,120,mirror,1152,1,2026-06-01T08:00:53.684508Z
S023,0,23,180,mirror,1308,1,2026-06-01T08:00:55.723804Z
S023,0,24,0,mirror,782,1,2026-06-01T08:00:57.978217Z
S023,1,1,300,mirror,752,1,2026-06-01T08:01:00.118902Z
S023,1,2,300,normal,677,1,2026-06-01T08:01:02.834242Z
S023,1,3,60,normal,744,1,2026-06-01T08:01:05.800653Z
S023,1,4,0,normal,525,1,2026-06-01T08:01:08.307114Z
